Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78
Avg Profit/Trade ($) (IS aggregate),,,,statistic,Avg Profit/Trade ($) (IS aggregate) for each solution,$159.51,$172.48,$172.48,$142.07,$210.43,$159.07,$133.14,$133.14,$133.14,$160.05,$152.22,$143.91,$143.91,$143.91,$143.91,$143.91,$143.91,$143.91,$143.91,$157.92,$157.46,$140.40,$142.06,$151.01,$164.90,$159.33,$159.33,$124.50,$107.94,$107.94,$159.81,$127.23,$127.23,$116.62,$116.62,$157.25,$115.20,$112.75,$126.29,$117.89,$93.90,$102.13,$111.02,$113.62,$108.87,$108.87,$101.46,$101.46,$95.04,$105.29,$83.11,$90.98,$98.90,$94.80,$74.86,$84.10,$84.02,$84.02,$91.20,$91.20,$71.57,$76.72,$78.11,$63.88,$70.46,$77.09,$77.09,$74.46,$64.93,$40.21,$30.74,$35.92,$37.89,$36.65,$21.44,$25.34,$25.20,$21.78,$20.26
"Avg Trade Span (min, bar grid) (IS aggregate)",,,,statistic,"Avg Trade Span (min, bar grid) (IS aggregate) for each solution",170.58,185.57,185.57,609.30,771.38,1013.31,156.10,156.10,156.10,184.66,184.99,1056.91,1056.91,1056.91,1056.91,1056.91,1056.91,1056.91,1056.91,651.26,1060.73,185.02,178.57,184.77,1006.28,996.44,996.44,166.42,153.89,153.89,172.55,655.04,655.04,167.91,167.91,170.29,164.86,614.89,634.52,163.77,144.35,161.46,596.84,594.71,172.99,172.99,173.28,173.28,164.70,682.04,157.86,557.09,584.89,578.86,143.44,160.53,161.41,161.41,555.85,555.85,517.10,540.61,549.44,159.23,588.63,611.34,611.34,608.73,533.86,513.72,489.42,530.49,494.08,530.44,479.97,499.69,494.18,474.95,504.77
Max Drawdown ($) (OOS aggregate),,,,statistic,Max Drawdown ($) (OOS aggregate) for each solution,"$26,762.00","$30,671.00","$30,671.00","$78,392.00","$23,358.50","$12,585.00","$27,692.00","$27,692.00","$27,692.00","$32,163.50","$33,523.50","$11,993.50","$11,993.50","$11,993.50","$11,993.50","$11,993.50","$11,993.50","$11,993.50","$11,993.50","$68,474.00","$19,697.50","$42,871.50","$54,611.00","$35,634.50","$13,559.00","$13,757.00","$13,757.00","$52,702.50","$49,885.50","$49,885.50","$25,591.50","$33,933.50","$33,933.50","$47,809.50","$47,809.50","$26,161.00","$44,143.50","$45,829.00","$24,577.50","$44,597.50","$48,746.50","$37,931.50","$33,505.50","$52,237.00","$27,455.50","$27,455.50","$46,794.00","$46,794.00","$36,728.50","$22,169.50","$38,551.50","$27,794.00","$25,867.00","$25,910.50","$49,481.00","$49,092.50","$38,234.00","$38,234.00","$60,257.50","$60,257.50","$62,564.50","$46,304.00","$24,911.00","$42,246.00","$18,827.00","$28,945.00","$28,945.00","$28,954.50","$36,944.00","$62,008.00","$46,241.00","$57,002.00","$59,699.00","$39,832.50","$61,378.50","$38,479.00","$42,643.50","$47,785.00","$43,287.00"
Profit Factor (OOS aggregate),,,,statistic,Profit Factor (OOS aggregate) for each solution,0.8910,0.8744,0.8744,0.6595,0.9276,0.9492,0.8639,0.8639,0.8639,0.8168,0.8008,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.6926,0.9096,0.7652,0.7476,0.8467,1.0321,0.9862,0.9862,0.7489,0.7335,0.7335,0.9297,0.8752,0.8752,0.7381,0.7381,0.9208,0.7865,0.8505,0.8916,0.8185,0.7827,0.8284,0.8907,0.7733,0.9084,0.9084,0.8035,0.8035,0.8508,1.0367,0.8418,0.9939,0.9123,0.9086,0.7865,0.7818,0.8454,0.8454,0.7813,0.7813,0.7690,0.8283,1.0324,0.8440,1.0066,0.9649,0.9649,0.9642,0.9182,0.7995,0.8602,0.7797,0.7967,0.8782,0.7641,0.8793,0.8694,0.8384,0.8869
Avg Trades/Day (OOS aggregate),,,,statistic,Avg Trades/Day (OOS aggregate) for each solution,0.314,0.307,0.307,0.552,0.440,0.271,0.316,0.316,0.316,0.307,0.292,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.532,0.276,0.319,0.417,0.333,0.300,0.304,0.304,0.432,0.420,0.420,0.397,0.535,0.535,0.416,0.416,0.398,0.464,0.562,0.582,0.484,0.504,0.491,0.596,0.602,0.491,0.491,0.521,0.521,0.512,0.509,0.519,0.657,0.635,0.637,0.529,0.524,0.517,0.517,0.668,0.668,0.701,0.674,0.639,0.439,0.573,0.573,0.573,0.579,0.678,0.720,0.715,0.669,0.763,0.721,0.729,0.753,0.757,0.783,0.757
Total Profit ($) (OOS aggregate),,,,statistic,Total Profit ($) (OOS aggregate) for each solution,"$-12,863.50","$-15,086.50","$-15,086.50","$-65,074.00","$-12,256.00","$-4,132.50","$-15,548.00","$-15,548.00","$-15,548.00","$-21,829.50","$-22,846.00","$-1,258.50","$-1,258.50","$-1,258.50","$-1,258.50","$-1,258.50","$-1,258.50","$-1,258.50","$-1,258.50","$-62,403.50","$-7,777.50","$-29,713.00","$-39,504.00","$-20,859.00","$2,800.50","$-1,258.00","$-1,258.00","$-39,092.50","$-38,183.00","$-38,183.00","$-10,944.50","$-23,654.50","$-23,654.50","$-39,128.50","$-39,128.50","$-12,452.00","$-34,959.50","$-28,718.00","$-22,099.50","$-31,829.50","$-36,945.00","$-29,262.50","$-21,304.00","$-49,446.00","$-15,802.00","$-15,802.00","$-38,300.00","$-38,300.00","$-27,047.00","$6,538.50","$-28,069.50","$-1,423.50","$-19,722.50","$-20,482.50","$-37,673.00","$-42,399.00","$-28,024.50","$-28,024.50","$-55,113.50","$-55,113.50","$-57,351.00","$-41,160.00","$7,248.50","$-24,218.00","$1,349.50","$-6,997.50","$-6,997.50","$-7,234.00","$-19,572.50","$-46,450.50","$-29,576.00","$-53,560.50","$-55,211.50","$-32,232.00","$-56,637.00","$-32,150.00","$-34,937.00","$-44,300.50","$-31,617.00"
Avg Profit/Trade ($) (OOS aggregate),,,,statistic,Avg Profit/Trade ($) (OOS aggregate) for each solution,$-49.86,$-59.87,$-59.87,$-143.33,$-33.86,$-18.53,$-59.80,$-59.80,$-59.80,$-86.62,$-95.19,$-6.02,$-6.02,$-6.02,$-6.02,$-6.02,$-6.02,$-6.02,$-6.02,$-142.80,$-34.26,$-113.41,$-115.17,$-76.13,$11.34,$-5.03,$-5.03,$-110.12,$-110.68,$-110.68,$-33.57,$-53.76,$-53.76,$-114.41,$-114.41,$-38.08,$-91.76,$-62.16,$-46.23,$-79.97,$-89.24,$-72.43,$-43.48,$-99.89,$-39.11,$-39.11,$-89.49,$-89.49,$-64.24,$15.64,$-65.74,$-2.64,$-37.78,$-39.09,$-86.60,$-98.37,$-65.94,$-65.94,$-100.39,$-100.39,$-99.57,$-74.30,$13.81,$-67.09,$2.87,$-14.86,$-14.86,$-15.20,$-35.14,$-78.46,$-50.30,$-97.38,$-88.06,$-54.35,$-94.55,$-51.94,$-56.17,$-68.79,$-50.83
"Avg Trade Span (min, bar grid) (OOS aggregate)",,,,statistic,"Avg Trade Span (min, bar grid) (OOS aggregate) for each solution",189.81,204.48,204.48,146.70,185.98,148.85,172.48,172.48,172.48,201.10,203.05,151.02,151.02,151.02,151.02,151.02,151.02,151.02,151.02,173.30,149.16,197.54,180.28,202.12,155.63,152.72,152.72,169.01,159.97,159.97,185.99,171.60,171.60,169.19,169.19,183.76,168.82,157.79,169.05,176.08,152.43,166.10,159.36,165.07,177.48,177.48,172.32,172.32,173.36,162.14,152.80,162.13,167.01,164.70,149.96,161.99,169.44,169.44,166.21,166.21,143.02,157.28,164.21,147.39,157.35,158.90,158.90,158.04,143.53,144.24,125.20,158.55,147.02,159.42,136.79,146.81,146.43,146.35,144.17
Derived Trailing Delay (bars from minutes/timeframe),,,,statistic,"Effective trailing delay in bars using the active GA gene (minutes when optimizable, else bars).",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Derived RSI filter (effective entry gates),,,,statistic,"Trend: long if RSI < Max Buy, short if RSI > Min Sell. Bollinger: mean-reversion long if RSI < Oversold, short if RSI > Overbought.",filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries)
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78
"--- GA FITNESS VECTOR (normalized, per DEAP) ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness[0] norm Sortino obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.189556,0.187731,0.187731,0.184934,0.183605,0.182332,0.179088,0.179088,0.179088,0.178206,0.165883,0.163502,0.163502,0.163502,0.163502,0.163502,0.163502,0.163502,0.163502,0.163421,0.160868,0.156106,0.154577,0.151432,0.149918,0.148669,0.148669,0.143602,0.137433,0.137433,0.135748,0.134879,0.134879,0.133720,0.133720,0.133308,0.131099,0.130344,0.125972,0.125555,0.122164,0.120754,0.120709,0.115934,0.105696,0.105696,0.105435,0.105435,0.103675,0.100728,0.096181,0.095581,0.095228,0.093879,0.093233,0.092763,0.091797,0.091797,0.089233,0.089233,0.083891,0.081583,0.079284,0.073353,0.072329,0.070712,0.070712,0.068495,0.065363,0.049620,0.041824,0.038161,0.036556,0.030009,0.025397,0.022645,0.022472,0.021231,0.019388
Fitness[1] norm DD obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.174738,0.158219,0.158219,0.260113,0.187256,0.155575,0.187200,0.187200,0.187200,0.135044,0.124825,0.142056,0.142056,0.142056,0.142056,0.142056,0.142056,0.142056,0.142056,0.333125,0.157588,0.133406,0.145850,0.141856,0.163819,0.147944,0.147944,0.177531,0.175713,0.175713,0.138006,0.251600,0.251600,0.171563,0.171563,0.138800,0.180000,0.261900,0.257731,0.156800,0.179700,0.174756,0.412669,0.244931,0.236938,0.236938,0.243644,0.243644,0.189906,0.192412,0.237925,0.240650,0.374275,0.414600,0.197344,0.232575,0.193569,0.193569,0.378225,0.378225,0.411963,0.473406,0.240550,0.152669,0.218763,0.239650,0.239650,0.239650,0.294300,0.668188,0.566995,0.539175,0.624106,0.356181,0.539031,0.338562,0.349131,0.551394,0.488750
Fitness[2] norm PF obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.166318,0.168974,0.168974,0.163688,0.181032,0.170046,0.160309,0.160309,0.160309,0.164610,0.160925,0.165156,0.165156,0.165156,0.165156,0.165156,0.165156,0.165156,0.165156,0.164146,0.171648,0.159924,0.161198,0.162435,0.171566,0.171438,0.171438,0.155727,0.152244,0.152244,0.167432,0.155748,0.155748,0.153500,0.153500,0.166837,0.152612,0.152805,0.155031,0.154380,0.148967,0.149957,0.150884,0.151283,0.150281,0.150281,0.148329,0.148329,0.147061,0.151183,0.144721,0.146818,0.146196,0.145449,0.142433,0.144182,0.143600,0.143600,0.144419,0.144419,0.140435,0.140919,0.142838,0.138711,0.140286,0.142034,0.142034,0.141236,0.138353,0.131646,0.129032,0.129621,0.130727,0.129800,0.126197,0.126923,0.126855,0.125955,0.125343
Fitness[3] norm Trades obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.119797,0.117428,0.117428,0.203384,0.158037,0.106599,0.121827,0.121827,0.121827,0.116751,0.108968,0.101184,0.101184,0.101184,0.101184,0.101184,0.101184,0.101184,0.101184,0.194585,0.101523,0.119797,0.141794,0.123519,0.108291,0.109306,0.109306,0.146870,0.144501,0.144501,0.140440,0.192217,0.192217,0.142132,0.142132,0.140778,0.154992,0.203723,0.200338,0.171912,0.172589,0.172589,0.210491,0.216582,0.179019,0.179019,0.183080,0.183080,0.177327,0.176311,0.181387,0.228765,0.223350,0.224704,0.181726,0.182741,0.178003,0.178003,0.238579,0.238579,0.248393,0.240271,0.231810,0.154653,0.211506,0.201692,0.201692,0.202707,0.236210,0.249746,0.251620,0.249746,0.263283,0.241624,0.269712,0.255161,0.258883,0.278173,0.259222
Fitness[4] norm PnL obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.376437,0.399003,0.399003,0.569233,0.655130,0.334053,0.319537,0.319537,0.319537,0.368107,0.326773,0.286867,0.286867,0.286867,0.286867,0.286867,0.286867,0.286867,0.286867,0.605370,0.314920,0.331337,0.396833,0.367447,0.351780,0.343087,0.343087,0.360233,0.307260,0.307260,0.442133,0.481793,0.481793,0.326547,0.326547,0.436100,0.351730,0.452520,0.498420,0.399240,0.319267,0.347230,0.460353,0.484763,0.383950,0.383950,0.365920,0.365920,0.332013,0.365720,0.296977,0.410013,0.435170,0.419647,0.268007,0.302760,0.294633,0.294633,0.428647,0.428647,0.350200,0.363133,0.356710,0.194613,0.293577,0.306313,0.306313,0.297360,0.302147,0.197823,0.152202,0.176730,0.196500,0.174443,0.113940,0.127390,0.128500,0.119380,0.103450
Fitness[5] norm PPT obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939020,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950420,1.000000,0.831091,0.909793,0.989023,0.947997,0.748622,0.841000,0.840209,0.840209,0.912014,0.912014,0.715668,0.767183,0.781117,0.638775,0.704584,0.770923,0.770923,0.744641,0.649312,0.402080,0.306948,0.359207,0.378856,0.366478,0.214442,0.253428,0.251961,0.217847,0.202578
--- ROBUSTNESS EVALUATION ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregate IS Sortino,,,,robustness,,5.0548,5.0062,5.0062,4.9316,4.8961,4.8622,4.7757,4.7757,4.7757,4.7522,4.4235,4.3601,4.3601,4.3601,4.3601,4.3601,4.3601,4.3601,4.3601,4.3579,4.2898,4.1628,4.1221,4.0382,3.9978,3.9645,3.9645,3.8294,3.6649,3.6649,3.6200,3.5968,3.5968,3.5659,3.5659,3.5549,3.4960,3.4758,3.3592,3.3481,3.2577,3.2201,3.2189,3.0916,2.8186,2.8186,2.8116,2.8116,2.7647,2.6861,2.5648,2.5488,2.5394,2.5035,2.4862,2.4737,2.4479,2.4479,2.3796,2.3796,2.2371,2.1755,2.1142,1.9561,1.9288,1.8856,1.8856,1.8265,1.7430,1.3232,1.1291,1.0176,0.9748,0.8002,0.6773,0.6039,0.5992,0.5662,0.5170
Aggregate OOS Sortino,,,,robustness,,-1.7985,-1.9623,-1.9623,-4.9329,-0.9159,-0.6975,-2.1445,-2.1445,-2.1445,-2.8136,-3.0756,-0.2269,-0.2269,-0.2269,-0.2269,-0.2269,-0.2269,-0.2269,-0.2269,-4.3740,-1.1269,-3.7618,-3.6658,-1.8970,0.3486,-0.1607,-0.1607,-3.7275,-3.8506,-3.8506,-0.9773,-1.6827,-1.6827,-3.8546,-3.8546,-1.1179,-3.0659,-2.1226,-1.4347,-2.5197,-3.1960,-2.4334,-1.4975,-2.9809,-1.1933,-1.1933,-2.6974,-2.6974,-2.0260,0.4784,-2.1944,-0.0815,-1.1804,-1.2326,-3.1342,-2.9643,-2.1134,-2.1134,-3.0936,-3.0936,-3.3703,-2.4007,0.4130,-2.1006,0.0875,-0.4846,-0.4846,-0.4959,-1.0949,-2.8468,-2.0675,-2.9610,-3.0654,-1.5423,-3.1622,-1.5604,-1.7085,-2.3438,-1.5122
Sortino IS-to-OOS Degradation,,,,robustness,,135.58%,139.20%,139.20%,200.03%,118.71%,114.35%,144.90%,144.90%,144.90%,159.21%,169.53%,105.20%,105.20%,105.20%,105.20%,105.20%,105.20%,105.20%,105.20%,200.37%,126.27%,190.37%,188.93%,146.98%,91.28%,104.05%,104.05%,197.34%,205.07%,205.07%,127.00%,146.78%,146.78%,208.10%,208.10%,131.45%,187.70%,161.07%,142.71%,175.26%,198.11%,175.57%,146.52%,196.42%,142.34%,142.34%,195.94%,195.94%,173.28%,82.19%,185.56%,103.20%,146.48%,149.24%,226.06%,219.83%,186.33%,186.33%,230.01%,230.01%,250.65%,210.35%,80.47%,207.39%,95.47%,125.70%,125.70%,127.15%,162.82%,315.14%,283.11%,390.97%,414.46%,292.73%,566.91%,358.41%,385.10%,513.98%,392.49%
Positive OOS Splits,,,,robustness,,1/5,1/5,1/5,0/5,3/5,3/5,1/5,1/5,1/5,1/5,1/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,3/5,0/5,2/5,1/5,1/5,1/5,3/5,3/5,3/5,1/5,1/5,1/5,2/5,1/5,1/5,1/5,1/5,2/5,1/5,1/5,2/5,1/5,0/5,0/5,2/5,0/5,3/5,3/5,0/5,0/5,1/5,2/5,1/5,2/5,1/5,0/5,0/5,1/5,1/5,1/5,0/5,0/5,0/5,0/5,3/5,1/5,2/5,1/5,1/5,1/5,2/5,1/5,1/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,1/5
Live-Ready Robustness Score,,,,robustness,,8.0,8.0,8.0,0.0,24.0,24.0,8.0,8.0,8.0,8.0,8.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,16.0,8.0,8.0,8.0,28.5,24.0,24.0,8.0,8.0,8.0,16.0,8.0,8.0,8.0,8.0,16.0,8.0,8.0,16.0,8.0,0.0,0.0,16.0,0.0,24.0,24.0,0.0,0.0,8.0,23.4,8.0,16.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,31.2,8.0,17.6,8.0,8.0,8.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0
--- PER-SPLIT DETAIL (In-Sample) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sortino (P1),,,,split_detail,,7.4127,7.2175,7.2175,21.4760,10.6485,16.1854,8.8156,8.8156,8.8156,6.8280,6.7192,12.7885,12.7885,12.7885,12.7885,12.7885,12.7885,12.7885,12.7885,14.2687,13.4407,3.7594,7.7407,4.0157,13.2240,13.2275,13.2275,6.3337,8.5135,8.5135,2.6703,13.4675,13.4675,7.5239,7.5239,2.6094,6.9333,11.4407,12.2049,7.5488,9.2407,6.7870,12.3479,11.0305,5.9300,5.9300,6.7753,6.7753,9.7620,6.0116,5.4952,6.5692,12.1279,11.3838,8.9574,8.0925,8.1902,8.1902,9.7371,9.7371,12.1832,10.0282,5.0486,4.8436,5.1967,4.2955,4.2955,4.2955,4.1321,10.1654,13.1417,7.1052,5.6586,1.6071,9.5312,2.0877,1.9294,4.1541,4.2606
  Trades/D (P1),,,,split_detail,,0.307,0.307,0.307,0.578,0.482,0.343,0.307,0.307,0.307,0.307,0.259,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.566,0.325,0.283,0.337,0.319,0.331,0.331,0.331,0.355,0.337,0.337,0.446,0.548,0.548,0.337,0.337,0.446,0.386,0.608,0.554,0.488,0.470,0.470,0.627,0.602,0.530,0.530,0.536,0.536,0.500,0.518,0.482,0.693,0.669,0.669,0.506,0.470,0.500,0.500,0.663,0.663,0.693,0.657,0.723,0.355,0.608,0.596,0.596,0.596,0.723,0.729,0.717,0.729,0.717,0.711,0.759,0.765,0.783,0.795,0.729
  Profit Fac (P1),,,,split_detail,,1.7270,1.8197,1.8197,2.9321,2.4621,2.4307,1.8939,1.8939,1.8939,1.7754,1.6881,2.1057,2.1057,2.1057,2.1057,2.1057,2.1057,2.1057,2.1057,2.9354,3.1917,1.3537,1.8739,1.5346,3.2188,3.2061,3.2061,1.6017,1.8303,1.8303,1.4079,2.6811,2.6811,1.7681,1.7681,1.3971,1.6768,2.3176,2.5208,1.8815,1.7975,1.6285,2.3860,2.4190,1.8173,1.8173,1.8227,1.8227,2.0236,2.0417,1.5732,1.9363,2.5430,2.4043,1.7850,1.9592,1.8333,1.8333,2.1672,2.1672,2.0603,2.0424,1.6778,1.5330,1.6880,1.6290,1.6290,1.6290,1.5092,2.0606,2.2386,1.7573,1.8264,1.2435,1.7958,1.3015,1.2729,1.5316,1.3963
  Max DD (P1),,,,split_detail,,"$8,555.00","$6,758.00","$6,758.00","$8,102.50","$5,523.00","$5,608.00","$8,173.50","$8,173.50","$8,173.50","$6,758.00","$6,758.00","$11,364.50","$11,364.50","$11,364.50","$11,364.50","$11,364.50","$11,364.50","$11,364.50","$11,364.50","$8,042.50","$7,286.50","$10,148.00","$6,045.50","$10,659.00","$5,567.50","$5,567.50","$5,567.50","$8,555.00","$8,173.50","$8,173.50","$4,895.00","$12,602.00","$12,602.00","$8,555.00","$8,555.00","$5,023.00","$8,388.50","$12,647.00","$12,892.50","$4,553.00","$7,336.00","$7,062.50","$17,075.50","$8,042.50","$10,254.50","$10,254.50","$9,322.50","$9,322.50","$3,964.50","$12,216.00","$7,062.50","$12,529.00","$10,088.00","$14,302.00","$7,336.00","$4,253.50","$6,952.50","$6,952.50","$17,020.50","$17,020.50","$20,533.00","$19,956.50","$16,263.50","$3,964.50","$16,448.50","$19,172.00","$19,172.00","$19,172.00","$15,763.50","$10,825.50","$9,894.50","$12,028.50","$28,097.50","$27,817.00","$8,903.00","$27,085.00","$27,930.50","$24,032.50","$21,588.00"
  Total PNL (P1),,,,split_detail,,"$14,039.50","$15,248.00","$15,248.00","$63,550.50","$46,649.00","$37,613.00","$15,741.50","$15,741.50","$15,741.50","$14,416.00","$12,344.50","$28,438.50","$28,438.50","$28,438.50","$28,438.50","$28,438.50","$28,438.50","$28,438.50","$28,438.50","$65,068.00","$42,211.00","$7,007.50","$17,647.50","$12,031.00","$43,009.50","$43,019.00","$43,019.00","$13,760.00","$16,297.00","$16,297.00","$11,499.00","$58,617.00","$58,617.00","$15,685.00","$15,685.00","$11,281.50","$15,938.50","$51,927.00","$56,246.50","$22,798.00","$21,859.50","$18,715.50","$58,609.50","$55,150.00","$27,503.50","$27,503.50","$26,036.50","$26,036.50","$27,129.50","$37,899.00","$15,880.00","$45,416.50","$67,654.00","$61,520.00","$22,425.00","$22,665.00","$23,827.00","$23,827.00","$54,744.50","$54,744.50","$51,437.50","$51,184.50","$36,781.00","$9,259.50","$33,083.50","$31,967.00","$31,967.00","$31,967.00","$29,979.50","$49,884.00","$50,454.50","$38,782.50","$45,682.50","$16,094.00","$39,321.00","$20,374.00","$19,188.50","$35,596.00","$24,788.50"
  Avg Profit/Tr (P1),,,,split_detail,,$275.28,$298.98,$298.98,$661.98,$583.11,$659.88,$308.66,$308.66,$308.66,$282.67,$287.08,$536.58,$536.58,$536.58,$536.58,$536.58,$536.58,$536.58,$536.58,$692.21,$781.69,$149.10,$315.13,$227.00,$781.99,$782.16,$782.16,$233.22,$291.02,$291.02,$155.39,$644.14,$644.14,$280.09,$280.09,$152.45,$249.04,$514.13,$611.37,$281.46,$280.25,$239.94,$563.55,$551.50,$312.54,$312.54,$292.54,$292.54,$326.86,$440.69,$198.50,$394.93,$609.50,$554.23,$266.96,$290.58,$287.07,$287.07,$497.68,$497.68,$447.28,$469.58,$306.51,$156.94,$327.56,$322.90,$322.90,$322.90,$249.83,$412.26,$423.99,$320.52,$383.89,$136.39,$312.07,$160.43,$147.60,$269.67,$204.86
