Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79
Avg Profit/Trade ($) (IS aggregate),,,,statistic,Avg Profit/Trade ($) (IS aggregate) for each solution,$144.98,$114.27,$128.07,$112.23,$109.13,$131.13,$116.46,$110.70,$110.70,$110.70,$110.70,$111.97,$116.15,$115.18,$103.16,$119.62,$102.41,$108.61,$111.65,$98.60,$98.12,$88.90,$96.26,$90.40,$94.75,$100.05,$102.80,$90.73,$100.19,$92.51,$79.28,$82.55,$86.47,$81.29,$92.38,$82.55,$88.48,$85.58,$85.58,$79.74,$79.60,$84.71,$84.71,$83.90,$83.06,$83.20,$81.88,$82.05,$81.73,$36.07,$38.77,$33.08,$31.34,$36.05,$33.14,$29.01,$22.60,$30.75,$22.13,$25.94,$20.70,$16.22,$20.46,$18.76,$17.79,$17.11,$16.62,$16.61,$12.59,$11.46,$9.15,$8.97,$9.78,$9.78,$9.59,$6.72,$5.29,$4.37,$4.30,$1.76
"Avg Trade Span (min, bar grid) (IS aggregate)",,,,statistic,"Avg Trade Span (min, bar grid) (IS aggregate) for each solution",1022.09,733.41,776.61,722.45,723.60,976.66,740.84,725.21,725.21,725.21,725.21,728.46,739.93,738.29,709.18,742.27,707.67,719.90,724.45,721.24,721.80,684.18,701.88,680.43,718.87,720.81,715.39,687.26,704.35,695.55,565.08,664.91,664.39,653.72,689.20,670.43,671.40,667.43,667.43,658.21,657.93,662.24,662.24,660.96,668.51,658.34,667.86,656.72,650.27,476.03,59.67,448.05,471.59,60.88,59.18,472.16,427.57,66.44,465.57,66.17,458.77,442.55,58.57,57.69,57.20,54.19,57.39,59.27,442.13,57.35,373.65,375.80,60.92,60.92,57.81,418.18,59.20,56.98,60.41,415.61
Max Drawdown ($) (OOS aggregate),,,,statistic,Max Drawdown ($) (OOS aggregate) for each solution,"$13,290.50","$12,633.50","$10,796.00","$10,481.50","$11,072.00","$15,924.50","$9,481.00","$11,236.50","$11,236.50","$11,236.50","$11,236.50","$13,845.50","$12,573.00","$12,316.00","$13,700.00","$14,542.50","$13,575.00","$11,621.50","$15,043.00","$10,781.50","$11,006.50","$12,420.50","$10,799.00","$12,825.00","$12,460.50","$13,765.00","$13,953.50","$15,667.00","$16,667.00","$11,687.00","$24,766.50","$17,270.50","$16,613.00","$14,765.00","$13,285.00","$12,192.00","$17,729.00","$19,601.00","$19,601.00","$18,658.00","$16,313.00","$19,601.00","$19,601.00","$19,304.00","$19,523.50","$17,971.50","$19,160.00","$20,591.50","$19,317.50","$37,002.50","$24,130.00","$16,149.00","$16,513.00","$24,071.00","$28,225.50","$17,013.00","$47,874.50","$33,978.50","$20,670.00","$35,017.00","$19,048.50","$28,849.50","$46,655.50","$34,192.50","$34,995.00","$28,339.50","$35,853.50","$48,546.00","$37,211.50","$38,736.00","$20,209.00","$18,271.50","$42,656.00","$42,803.00","$36,085.50","$18,274.50","$51,055.50","$36,297.50","$50,125.50","$18,274.50"
Profit Factor (OOS aggregate),,,,statistic,Profit Factor (OOS aggregate) for each solution,0.9424,0.9009,0.8858,0.9005,0.9017,1.0181,0.9195,0.9032,0.9032,0.9032,0.9032,0.9201,0.8966,0.8987,0.9303,0.9249,0.9432,0.9201,0.9455,0.9038,0.9119,0.9179,0.9398,0.9271,0.9039,0.9252,0.9455,0.9140,0.9341,0.9272,0.8218,0.8526,0.9240,0.9218,0.9710,0.9662,0.9062,0.8888,0.8888,0.8405,0.8694,0.8888,0.8888,0.8920,0.8932,0.9062,0.8999,0.8763,0.8884,0.7335,0.7539,0.9401,0.9438,0.7706,0.7421,0.9347,0.6706,0.7390,0.9459,0.7627,0.9505,0.7864,0.6597,0.7468,0.7432,0.6906,0.7374,0.6561,0.7569,0.7299,0.9688,0.9803,0.7170,0.7163,0.7462,1.0013,0.6466,0.7408,0.6588,0.9885
Avg Trades/Day (OOS aggregate),,,,statistic,Avg Trades/Day (OOS aggregate) for each solution,0.320,0.443,0.427,0.450,0.451,0.327,0.444,0.453,0.453,0.453,0.453,0.454,0.445,0.446,0.472,0.438,0.472,0.457,0.455,0.455,0.455,0.473,0.465,0.484,0.454,0.454,0.461,0.462,0.451,0.467,0.567,0.498,0.496,0.489,0.465,0.478,0.487,0.490,0.490,0.490,0.491,0.490,0.490,0.493,0.483,0.493,0.484,0.490,0.495,0.684,0.466,0.765,0.734,0.471,0.483,0.730,0.732,0.509,0.748,0.605,0.760,0.721,0.599,0.588,0.588,0.438,0.591,0.603,0.759,0.602,0.937,0.929,0.639,0.639,0.602,0.847,0.608,0.608,0.631,0.854
Total Profit ($) (OOS aggregate),,,,statistic,Total Profit ($) (OOS aggregate) for each solution,"$-3,944.50","$-8,525.00","$-9,670.00","$-8,652.50","$-8,558.50","$1,231.00","$-6,850.50","$-8,595.00","$-8,595.00","$-8,595.00","$-8,595.00","$-7,208.50","$-9,071.50","$-8,884.50","$-6,237.00","$-6,557.50","$-5,019.50","$-7,097.50","$-4,818.50","$-8,594.50","$-7,846.50","$-7,412.00","$-5,219.00","$-6,593.50","$-8,526.00","$-6,734.50","$-4,862.00","$-7,488.00","$-5,611.50","$-6,402.00","$-18,957.50","$-14,461.50","$-7,234.50","$-7,182.00","$-2,551.00","$-2,949.50","$-8,737.50","$-10,379.00","$-10,379.00","$-15,029.00","$-12,253.00","$-10,379.00","$-10,379.00","$-10,082.00","$-9,783.00","$-8,749.50","$-9,201.50","$-11,587.50","$-10,557.50","$-33,050.00","$-23,383.50","$-9,924.50","$-8,963.00","$-22,159.00","$-26,136.50","$-10,499.00","$-46,683.50","$-30,828.50","$-8,929.00","$-33,727.50","$-8,364.50","$-26,128.50","$-47,505.00","$-34,178.50","$-34,777.50","$-28,404.50","$-35,839.50","$-49,395.50","$-32,287.50","$-37,574.50","$-5,740.50","$-3,590.00","$-43,375.50","$-43,522.50","$-34,582.50",$223.00,"$-51,743.00","$-35,611.50","$-50,813.00","$-2,033.50"
Avg Profit/Trade ($) (OOS aggregate),,,,statistic,Avg Profit/Trade ($) (OOS aggregate) for each solution,$-15.00,$-23.42,$-27.55,$-23.39,$-23.07,$4.58,$-18.77,$-23.10,$-23.10,$-23.10,$-23.10,$-19.33,$-24.79,$-24.21,$-16.07,$-18.22,$-12.94,$-18.88,$-12.88,$-22.98,$-20.98,$-19.05,$-13.66,$-16.57,$-22.86,$-18.05,$-12.83,$-19.71,$-15.13,$-16.67,$-40.68,$-35.36,$-17.73,$-17.87,$-6.68,$-7.51,$-21.84,$-25.75,$-25.75,$-37.29,$-30.33,$-25.75,$-25.75,$-24.89,$-24.64,$-21.60,$-23.12,$-28.75,$-25.94,$-58.81,$-61.05,$-15.78,$-14.86,$-57.26,$-65.84,$-17.50,$-77.55,$-73.75,$-14.52,$-67.86,$-13.38,$-44.06,$-96.55,$-70.76,$-72.00,$-78.90,$-73.74,$-99.59,$-51.74,$-75.91,$-7.46,$-4.70,$-82.62,$-82.90,$-69.86,$0.32,$-103.49,$-71.22,$-97.91,$-2.90
"Avg Trade Span (min, bar grid) (OOS aggregate)",,,,statistic,"Avg Trade Span (min, bar grid) (OOS aggregate) for each solution",91.83,66.67,67.73,65.46,65.47,90.92,65.93,66.59,66.59,66.59,66.59,71.14,67.30,67.23,64.73,71.75,64.68,65.18,70.09,66.57,67.23,64.15,64.17,63.26,67.34,71.41,69.78,62.96,68.68,64.49,56.86,65.67,63.02,62.72,73.17,65.56,67.67,66.13,66.13,61.30,61.53,66.13,66.13,66.01,65.86,66.23,65.99,65.92,65.91,51.99,51.61,78.44,81.62,53.01,52.70,82.66,67.37,64.66,83.77,66.18,85.15,45.51,57.28,57.39,56.94,50.36,56.95,58.19,51.38,57.29,68.60,68.35,58.60,58.56,57.82,79.73,58.30,56.85,59.39,80.11
Derived Trailing Delay (bars from minutes/timeframe),,,,statistic,"Effective trailing delay in bars using the active GA gene (minutes when optimizable, else bars).",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Derived RSI filter (effective entry gates),,,,statistic,"Trend: long if RSI < Max Buy, short if RSI > Min Sell. Bollinger: mean-reversion long if RSI < Oversold, short if RSI > Overbought.",filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries)
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79
"--- GA FITNESS VECTOR (normalized, per DEAP) ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness[0] norm Sortino obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.164404,0.146242,0.144930,0.142695,0.140069,0.140384,0.138438,0.135557,0.135557,0.135557,0.135557,0.132499,0.132294,0.131425,0.130031,0.129268,0.128944,0.126113,0.120280,0.119081,0.118617,0.115062,0.115342,0.114433,0.113492,0.112813,0.110623,0.109402,0.107729,0.107089,0.106444,0.104433,0.104278,0.102677,0.100765,0.100394,0.099655,0.096556,0.096556,0.096498,0.096128,0.095752,0.095752,0.094987,0.094605,0.094381,0.093071,0.093031,0.092446,0.046219,0.039898,0.016941,0.026960,0.037622,0.033306,0.025880,0.030229,0.026827,0.021084,0.024252,0.020022,0.020394,0.019840,0.018299,0.017474,0.015964,0.016404,0.016089,0.013940,0.011381,-0.009251,-0.009966,0.009687,0.009687,0.009267,0.000048,0.005001,0.004093,0.004085,-0.006249
Fitness[1] norm DD obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.118988,0.112943,0.150706,0.120347,0.114873,0.147563,0.158519,0.119131,0.119131,0.119131,0.119131,0.139206,0.156350,0.156350,0.150119,0.126200,0.150119,0.153287,0.147306,0.146788,0.146788,0.119381,0.151755,0.135106,0.146788,0.148550,0.142506,0.217850,0.171269,0.179969,0.133587,0.175325,0.171619,0.204969,0.161306,0.139087,0.176594,0.177406,0.177406,0.177125,0.177125,0.177406,0.177406,0.177406,0.154763,0.177406,0.154763,0.177406,0.177406,0.249081,0.127083,0.310514,0.240954,0.121901,0.125436,0.245466,0.340819,0.132371,0.300056,0.165369,0.288930,0.236923,0.193131,0.159044,0.155094,0.118970,0.156025,0.193131,0.286606,0.162025,0.361044,0.354239,0.192169,0.192169,0.157269,0.405797,0.183663,0.157269,0.193831,0.423822
Fitness[2] norm PF obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.183050,0.175319,0.180266,0.175118,0.172559,0.175620,0.175921,0.173733,0.173733,0.173733,0.173733,0.175039,0.175109,0.174629,0.171153,0.177528,0.170718,0.171494,0.171961,0.166935,0.166673,0.160618,0.164570,0.163827,0.164786,0.167637,0.168041,0.160750,0.164903,0.162285,0.161677,0.158967,0.160951,0.158029,0.161649,0.159150,0.160712,0.159277,0.159277,0.157031,0.156898,0.158979,0.158979,0.158593,0.158604,0.158377,0.157831,0.157903,0.157934,0.138752,0.138252,0.106280,0.120109,0.138872,0.135722,0.121819,0.132275,0.131835,0.123207,0.131801,0.123539,0.127681,0.129903,0.128716,0.128242,0.127757,0.127735,0.127901,0.126230,0.125375,0.101890,0.101268,0.124510,0.124510,0.124459,0.113734,0.122432,0.122017,0.121975,0.111350
Fitness[3] norm Trades obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.101184,0.141697,0.135025,0.145149,0.143654,0.106261,0.141455,0.145178,0.145178,0.145178,0.145178,0.144839,0.142132,0.142470,0.148562,0.142470,0.148900,0.146193,0.146193,0.145854,0.145854,0.151419,0.149910,0.155330,0.146531,0.146531,0.148223,0.153638,0.151269,0.151607,0.189848,0.158376,0.159729,0.162098,0.154653,0.158037,0.159052,0.160068,0.160068,0.161421,0.161760,0.161421,0.161421,0.161760,0.159391,0.162437,0.159729,0.162775,0.164805,0.226396,0.155340,0.229700,0.228953,0.158068,0.159328,0.231360,0.253469,0.168168,0.242540,0.195601,0.247421,0.240356,0.196277,0.190863,0.190863,0.155375,0.191540,0.200677,0.246701,0.194924,0.288709,0.285501,0.199323,0.199323,0.194924,0.267794,0.203723,0.197293,0.209814,0.269825
Fitness[4] norm PnL obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.289000,0.320362,0.340663,0.320938,0.310185,0.274507,0.324530,0.316593,0.316593,0.316593,0.316593,0.319490,0.325220,0.323273,0.301903,0.335727,0.300410,0.312803,0.321547,0.283323,0.281943,0.266851,0.284278,0.276613,0.273503,0.288820,0.300180,0.274617,0.298560,0.276283,0.296510,0.257563,0.272090,0.259580,0.281443,0.257000,0.277227,0.269867,0.269867,0.253563,0.253673,0.269380,0.269380,0.267363,0.260793,0.266227,0.257637,0.263120,0.265347,0.160873,0.118098,0.141313,0.137154,0.112159,0.103415,0.128541,0.112863,0.101074,0.103023,0.099973,0.098526,0.076154,0.079127,0.070523,0.066893,0.051730,0.062727,0.065660,0.061173,0.044017,0.035982,0.033907,0.038390,0.038390,0.036807,0.028494,0.021213,0.016983,0.017753,0.001276
Fitness[5] norm PPT obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,1.000000,0.998889,1.000000,0.999972,0.998815,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986044,0.981241,0.886779,0.962579,0.903965,0.947471,1.000000,1.000000,0.907324,1.000000,0.925056,0.792807,0.825524,0.864693,0.812881,0.923775,0.825482,0.884766,0.855814,0.855814,0.797369,0.796046,0.847107,0.847107,0.839006,0.830552,0.831958,0.818761,0.820541,0.817290,0.360703,0.385378,0.306733,0.302420,0.360163,0.329663,0.281513,0.226028,0.305483,0.216490,0.259446,0.203001,0.161237,0.204638,0.187562,0.177908,0.170134,0.166237,0.166088,0.125871,0.114627,0.071906,0.069602,0.097767,0.097767,0.095851,0.059174,0.052857,0.043696,0.042952,0.009214
--- ROBUSTNESS EVALUATION ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregate IS Sortino,,,,robustness,,4.3841,3.9338,3.8648,3.8061,3.7713,3.7436,3.6917,3.6149,3.6149,3.6149,3.6149,3.5333,3.5278,3.5047,3.4675,3.4471,3.4385,3.3630,3.2075,3.1755,3.1631,3.1344,3.0760,3.0516,3.0265,3.0083,2.9499,2.9174,2.8728,2.8557,2.8385,2.7849,2.7807,2.7380,2.6871,2.6772,2.6575,2.5748,2.5748,2.5733,2.5634,2.5534,2.5534,2.5330,2.5228,2.5168,2.4819,2.4808,2.4652,1.2325,1.1295,1.1217,1.0229,1.0118,0.9366,0.9267,0.8061,0.7717,0.6946,0.6467,0.6436,0.5692,0.5291,0.4880,0.4660,0.4520,0.4374,0.4290,0.3717,0.3035,0.2810,0.2753,0.2583,0.2583,0.2471,0.2166,0.1333,0.1091,0.1089,0.0564
Aggregate OOS Sortino,,,,robustness,,-0.4967,-0.8998,-1.0290,-0.8922,-0.8884,0.1538,-0.7226,-0.8533,-0.8533,-0.8533,-0.8533,-0.6755,-0.9111,-0.8899,-0.5926,-0.6259,-0.4809,-0.7067,-0.4476,-0.8565,-0.7813,-0.7331,-0.5302,-0.6185,-0.8465,-0.6307,-0.4483,-0.7935,-0.5425,-0.6350,-1.6263,-1.3500,-0.6868,-0.7029,-0.2462,-0.2832,-0.7660,-0.9050,-0.9050,-1.4096,-1.1379,-0.9050,-0.9050,-0.8757,-0.8600,-0.7592,-0.8068,-1.0119,-0.9122,-2.3733,-1.9123,-0.6021,-0.5476,-1.7847,-2.0402,-0.6267,-2.9810,-2.1168,-0.4884,-1.9803,-0.4513,-1.7199,-2.9018,-2.0657,-2.1135,-2.4564,-2.1594,-2.9571,-2.0140,-2.2357,-0.2969,-0.1871,-2.3106,-2.3152,-2.0816,0.0123,-3.0628,-2.1233,-2.8992,-0.1114
Sortino IS-to-OOS Degradation,,,,robustness,,111.33%,122.87%,126.62%,123.44%,123.56%,95.89%,119.57%,123.61%,123.61%,123.61%,123.61%,119.12%,125.83%,125.39%,117.09%,118.16%,113.99%,121.01%,113.95%,126.97%,124.70%,123.39%,117.24%,120.27%,127.97%,120.97%,115.20%,127.20%,118.88%,122.24%,157.29%,148.48%,124.70%,125.67%,109.16%,110.58%,128.82%,135.15%,135.15%,154.78%,144.39%,135.44%,135.44%,134.57%,134.09%,130.16%,132.51%,140.79%,137.00%,292.56%,269.30%,153.68%,153.53%,276.40%,317.84%,167.63%,469.80%,374.30%,170.32%,406.20%,170.12%,402.19%,648.46%,523.31%,553.55%,643.43%,593.64%,789.22%,641.78%,836.62%,205.66%,167.96%,994.46%,996.27%,942.33%,94.33%,2396.84%,2045.38%,2761.69%,297.41%
Positive OOS Splits,,,,robustness,,1/5,0/5,0/5,0/5,1/5,2/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,0/5,1/5,1/5,1/5,2/5,1/5,0/5,0/5,1/5,1/5,1/5,0/5,1/5,1/5,2/5,1/5,1/5,1/5,2/5,2/5,2/5,2/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,1/5,0/5,2/5,2/5,2/5,2/5,2/5,2/5,0/5,1/5,1/5,0/5,2/5,0/5,0/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,2/5,2/5,1/5,1/5,1/5,3/5,0/5,0/5,0/5,3/5
Live-Ready Robustness Score,,,,robustness,,8.0,0.0,0.0,0.0,8.0,18.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,8.0,16.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,16.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,8.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,16.0,8.0,8.0,8.0,25.2,0.0,0.0,0.0,24.0
--- PER-SPLIT DETAIL (In-Sample) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sortino (P1),,,,split_detail,,13.6312,12.5867,9.6334,11.5253,12.3540,10.7018,9.2814,11.6794,11.6794,11.6794,11.6794,11.9060,9.0391,9.0391,13.8658,9.4872,13.8658,8.8823,8.7305,9.9508,9.9078,12.8820,9.3338,13.4744,10.1014,9.1402,8.3461,7.7974,7.8069,8.1194,10.7552,9.8796,9.5606,8.6866,8.9270,11.2257,8.5681,8.4994,8.4994,8.7999,8.9663,8.4994,8.4994,8.4994,9.0880,8.4994,9.2098,8.3778,8.4719,7.2901,2.7737,5.4469,6.8449,2.6781,2.6781,6.4526,4.4633,1.7208,6.3154,0.4654,5.6221,4.3426,0.4430,2.4971,2.7939,0.7577,2.7939,0.6450,3.0792,1.9087,2.7311,2.9084,0.5386,0.5386,1.2504,5.3926,0.2742,0.1205,0.2476,4.8439
  Trades/D (P1),,,,split_detail,,0.283,0.464,0.428,0.476,0.476,0.301,0.470,0.476,0.476,0.476,0.476,0.476,0.470,0.470,0.482,0.452,0.482,0.482,0.482,0.482,0.482,0.506,0.482,0.500,0.482,0.482,0.488,0.512,0.500,0.494,0.602,0.518,0.494,0.524,0.488,0.500,0.518,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.506,0.524,0.512,0.524,0.530,0.729,0.428,0.747,0.699,0.428,0.428,0.699,0.777,0.476,0.735,0.530,0.759,0.765,0.506,0.512,0.512,0.416,0.512,0.512,0.813,0.518,0.994,0.982,0.548,0.548,0.518,0.880,0.530,0.530,0.554,0.892
  Profit Fac (P1),,,,split_detail,,2.8779,2.5473,2.3105,2.4607,2.5247,2.5157,2.2406,2.4853,2.4853,2.4853,2.4853,2.6050,2.2339,2.2339,2.7929,2.6383,2.7929,2.2196,2.3132,2.2395,2.2342,2.5495,2.2711,2.7232,2.2659,2.2760,2.3464,1.9494,2.1559,2.1031,2.4187,2.2358,2.1863,2.0146,2.3680,2.5680,2.2007,2.1956,2.1956,2.1158,2.1475,2.1956,2.1956,2.1956,2.3138,2.1956,2.3472,2.1785,2.2055,2.0073,1.4445,1.6480,1.8628,1.4219,1.4219,1.8210,1.6234,1.2486,1.8156,1.0736,1.7127,1.5675,1.0713,1.3903,1.4299,1.1415,1.4299,1.1050,1.4831,1.2944,1.3299,1.3549,1.0764,1.0764,1.2019,1.6753,1.0428,1.0201,1.0387,1.5866
  Max DD (P1),,,,split_detail,,"$9,519.00","$8,946.50","$12,056.50","$9,625.50","$9,095.00","$11,805.00","$12,681.50","$9,530.50","$9,530.50","$9,530.50","$9,530.50","$8,582.00","$12,508.00","$12,508.00","$9,223.00","$10,096.00","$9,223.00","$12,263.00","$11,784.50","$11,743.00","$11,743.00","$9,373.00","$12,140.00","$9,223.00","$11,743.00","$11,884.00","$11,400.50","$17,428.00","$13,701.50","$14,397.50","$10,687.00","$13,062.50","$13,729.50","$16,397.50","$11,776.50","$10,312.50","$14,127.50","$14,192.50","$14,192.50","$14,170.00","$14,170.00","$14,192.50","$14,192.50","$14,192.50","$12,381.00","$14,192.50","$12,381.00","$14,192.50","$14,192.50","$12,638.00","$6,730.00","$22,912.50","$17,821.00","$5,360.00","$5,360.00","$18,951.50","$16,705.50","$9,897.00","$20,361.50","$10,604.50","$22,793.00","$18,879.50","$9,397.00","$6,215.50","$6,215.50","$9,440.00","$6,215.50","$9,397.00","$22,928.50","$6,215.50","$27,317.00","$26,732.50","$8,701.00","$8,701.00","$7,332.00","$19,919.00","$10,798.50","$9,503.50","$10,884.00","$21,988.00"
  Total PNL (P1),,,,split_detail,,"$35,177.50","$36,096.00","$34,244.00","$35,275.00","$35,887.00","$32,161.50","$33,094.50","$35,514.00","$35,514.00","$35,514.00","$35,514.00","$36,691.00","$33,347.50","$33,347.50","$38,564.00","$37,372.00","$38,564.00","$33,316.50","$35,125.00","$32,624.00","$32,483.00","$36,471.50","$34,204.50","$38,624.50","$33,199.00","$33,655.50","$34,959.00","$30,245.50","$33,003.50","$32,173.00","$37,176.50","$34,680.50","$33,258.50","$31,466.00","$36,247.50","$37,270.00","$33,604.50","$33,539.50","$33,539.50","$31,826.50","$32,504.00","$33,539.50","$33,539.50","$33,539.50","$34,473.00","$33,539.50","$35,351.00","$33,059.50","$33,815.00","$33,723.50","$7,922.00","$27,749.50","$32,983.50","$7,045.00","$7,045.00","$32,108.00","$25,393.50","$6,347.00","$32,141.00","$2,124.50","$29,903.50","$21,846.00","$1,877.00","$9,202.00","$9,855.50","$2,896.00","$9,855.50","$2,765.50","$21,718.50","$6,767.50","$18,862.50","$19,918.00","$1,951.50","$1,951.50","$4,997.50","$31,611.50","$1,194.50",$586.50,"$1,109.00","$28,994.50"
  Avg Profit/Tr (P1),,,,split_detail,,$748.46,$468.78,$482.31,$446.52,$454.27,$643.23,$424.29,$449.54,$449.54,$449.54,$449.54,$464.44,$427.53,$427.53,$482.05,$498.29,$482.05,$416.46,$439.06,$407.80,$406.04,$434.18,$427.56,$465.36,$414.99,$420.69,$431.59,$355.83,$397.63,$392.35,$371.76,$403.26,$405.59,$361.68,$447.50,$449.04,$390.75,$385.51,$385.51,$365.82,$373.61,$385.51,$385.51,$385.51,$410.39,$385.51,$415.89,$379.99,$384.26,$278.71,$111.58,$223.79,$284.34,$99.23,$99.23,$276.79,$196.85,$80.34,$263.45,$24.14,$237.33,$172.02,$22.35,$108.26,$115.95,$41.97,$115.95,$32.54,$160.88,$78.69,$114.32,$122.20,$21.45,$21.45,$58.11,$216.52,$13.57,$6.66,$12.05,$195.91
