Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92
MAX_WIN_RATE_CAP,0.85,0.85,0.85,float,Suspicious win-rate cap,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
LIMIT_MAX_LOSS,50000,50000,50000,float,Loss soft-gate,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
LIMIT_MIN_SORTINO,0.4,0.4,0.4,float,Sortino soft-gate,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio (IS aggregate),,,,statistic,Sortino Ratio (IS aggregate) for each solution,7.2920,6.9452,6.9250,6.8955,6.8385,6.7225,6.0498,6.0219,5.8189,5.7264,5.6864,5.6244,5.5728,5.5109,4.9309,3.8643,3.7931,3.6265,3.5942,3.5942,3.5875,3.5238,3.5101,3.4021,3.3053,3.3043,3.2608,3.2362,3.2094,3.0788,3.0588,3.0588,3.0432,3.0022,2.8484,2.7854,2.6468,2.5647,2.4421,2.3251,2.2792,2.2123,2.1118,2.1105,2.0782,1.8945,1.7653,1.7368,1.6883,1.6720,1.6420,1.6407,1.6306,1.6264,1.6259,1.5726,1.5696,1.5409,1.4820,1.4631,1.4414,1.4175,1.3796,1.3635,1.3547,1.3002,1.2936,1.2843,1.2312,1.2205,1.2035,1.1899,1.1678,1.0943,1.0905,0.9921,0.9832,0.9564,0.9502,0.8942,0.8656,0.8582,0.7727,0.7713,0.7711,0.7528,0.7362,0.7065,0.7019,0.6609,0.5543,0.5364,0.1688
Max Drawdown ($) (IS aggregate),,,,statistic,Max Drawdown ($) (IS aggregate) for each solution,"$9,663.00","$8,614.50","$10,241.00","$10,822.00","$16,082.50","$7,813.00","$6,955.00","$12,119.50","$6,833.50","$11,185.00","$7,283.00","$11,637.00","$11,039.50","$12,328.00","$8,725.00","$11,308.50","$9,746.00","$18,398.50","$11,214.00","$11,214.00","$9,736.00","$9,038.50","$13,569.50","$12,041.50","$15,517.00","$11,310.50","$18,979.00","$9,642.00","$12,376.00","$18,453.00","$13,263.50","$13,263.50","$15,466.50","$14,472.00","$13,365.50","$5,377.50","$20,914.50","$21,612.50","$30,896.00","$28,741.50","$25,930.50","$27,225.00","$30,777.50","$29,576.00","$30,728.50","$30,728.50","$10,959.00","$29,738.50","$9,327.00","$10,959.00","$32,144.50","$8,735.00","$11,826.00","$10,959.00","$10,959.00","$10,959.00","$14,738.50","$11,826.00","$24,573.50","$38,008.00","$10,959.00","$9,327.00","$26,306.00","$12,298.50","$11,827.50","$10,483.50","$45,269.00","$11,826.00","$12,298.50","$27,045.00","$50,949.00","$27,384.50","$13,022.50","$12,300.00","$41,361.00","$47,918.00","$43,743.50","$39,413.50","$12,899.50","$35,272.00","$23,509.50","$46,706.50","$30,618.50","$39,209.00","$13,365.50","$38,080.00","$38,459.00","$37,906.50","$37,634.50","$40,417.50","$24,700.00","$22,492.50","$24,040.00"
Profit Factor (IS aggregate),,,,statistic,Profit Factor (IS aggregate) for each solution,1.6194,1.6910,1.7260,1.7374,1.7259,1.7026,1.6197,1.6480,1.5827,1.5936,1.6070,1.5447,1.5738,1.5880,1.4994,1.4059,1.3734,1.4073,1.3792,1.3792,1.3527,1.3395,1.3386,1.3294,1.3104,1.3160,1.3331,1.3401,1.3019,1.2770,1.2875,1.2875,1.3100,1.2842,1.2646,1.2804,1.2754,1.2759,1.1837,1.1778,1.1715,1.1683,1.1618,1.1626,1.1594,1.1452,1.1693,1.1673,1.1635,1.1599,1.1240,1.1581,1.1547,1.1547,1.1550,1.1493,1.1496,1.1459,1.1496,1.1419,1.1370,1.1377,1.1483,1.1272,1.1301,1.1255,1.1004,1.1223,1.1146,1.1218,1.1012,1.1056,1.1092,1.1022,1.0883,1.0770,1.0872,1.0765,1.0896,1.0761,1.0821,1.0679,1.0641,1.0641,1.0718,1.0647,1.0630,1.0606,1.0601,1.0515,1.0529,1.0438,1.0165
Avg Trades/Day (IS aggregate),,,,statistic,Avg Trades/Day (IS aggregate) for each solution,0.320,0.356,0.324,0.303,0.328,0.312,0.322,0.409,0.352,0.381,0.381,0.387,0.386,0.416,0.387,0.390,0.547,0.454,0.390,0.390,0.513,0.550,0.586,0.571,0.719,0.573,0.691,0.531,0.613,0.788,0.623,0.623,0.598,0.652,0.655,0.335,0.826,0.766,0.859,0.869,0.848,0.891,0.940,0.944,0.949,0.951,0.573,0.874,0.557,0.579,0.993,0.552,0.590,0.583,0.584,0.587,0.713,0.589,0.862,0.982,0.590,0.559,0.866,0.624,0.609,0.561,1.165,0.595,0.625,0.878,0.999,0.974,0.643,0.640,1.148,1.182,1.047,1.094,0.642,0.994,0.863,1.179,1.256,1.005,0.670,1.012,1.015,1.011,1.014,1.306,0.881,0.854,0.921
Total Profit ($) (IS aggregate),,,,statistic,Total Profit ($) (IS aggregate) for each solution,"$68,192.50","$82,496.50","$88,598.50","$79,734.00","$80,533.50","$75,502.50","$69,656.00","$88,074.50","$70,647.00","$76,517.00","$80,309.00","$75,770.00","$75,137.50","$84,000.00","$66,652.50","$56,806.50","$81,797.50","$66,543.50","$54,199.50","$54,199.50","$73,230.00","$75,400.50","$81,851.00","$77,940.50","$88,838.00","$74,848.50","$94,466.00","$77,067.50","$75,690.00","$82,766.50","$73,702.50","$73,702.50","$78,676.00","$78,044.00","$71,764.00","$31,181.50","$92,443.50","$87,559.00","$57,671.50","$56,753.00","$56,179.50","$55,179.50","$55,332.50","$55,773.00","$55,027.00","$50,284.50","$39,120.50","$61,835.00","$36,405.00","$37,290.00","$45,852.00","$35,099.00","$36,870.00","$36,376.50","$36,427.00","$35,340.00","$42,524.00","$34,727.50","$57,299.50","$58,201.50","$32,508.50","$30,998.00","$55,901.00","$32,411.00","$31,968.00","$28,648.50","$42,247.00","$29,492.50","$29,270.50","$48,029.50","$40,477.50","$40,937.50","$28,604.00","$26,929.00","$37,915.00","$34,079.50","$38,985.00","$31,643.50","$23,626.00","$29,520.50","$27,062.00","$28,023.50","$30,336.00","$25,016.50","$19,904.00","$26,408.50","$25,770.00","$24,774.00","$24,544.50","$24,480.50","$19,885.00","$13,947.00","$6,137.00"
Avg Profit/Trade ($) (IS aggregate),,,,statistic,Avg Profit/Trade ($) (IS aggregate) for each solution,$216.48,$235.03,$277.74,$267.56,$249.33,$245.94,$219.74,$218.55,$203.59,$204.05,$214.16,$198.87,$197.73,$204.88,$174.94,$147.93,$151.76,$148.87,$141.14,$141.14,$145.01,$139.12,$141.86,$138.68,$125.48,$132.71,$138.72,$147.36,$125.31,$106.66,$120.04,$120.04,$133.58,$121.56,$111.26,$94.49,$113.57,$115.97,$68.17,$66.30,$67.28,$62.85,$59.75,$59.97,$58.85,$53.67,$69.36,$71.82,$66.31,$65.42,$46.88,$64.52,$63.46,$63.37,$63.35,$61.14,$60.58,$59.87,$67.49,$60.19,$55.95,$56.26,$65.53,$52.70,$53.28,$51.81,$36.80,$50.33,$47.52,$55.53,$41.14,$42.69,$45.19,$42.74,$33.52,$29.28,$37.81,$29.35,$37.38,$30.15,$31.84,$24.14,$24.52,$25.27,$30.16,$26.49,$25.77,$24.87,$24.57,$19.04,$22.91,$16.58,$6.77
"Avg Trade Span (min, bar grid) (IS aggregate)",,,,statistic,"Avg Trade Span (min, bar grid) (IS aggregate) for each solution",1036.58,959.58,1042.80,1104.64,1027.20,1084.16,1046.69,848.27,966.97,912.08,890.21,900.85,901.58,845.02,890.08,866.34,675.92,762.66,869.47,869.47,708.57,669.99,645.24,659.37,545.82,653.56,575.91,708.57,617.48,488.05,609.41,609.41,644.78,594.98,585.40,151.84,492.61,521.89,454.95,451.42,467.38,443.30,425.62,424.17,422.07,420.72,154.30,470.78,150.15,153.26,398.81,151.35,152.82,152.27,152.13,151.97,147.02,152.21,477.75,426.46,150.36,149.27,474.34,150.11,149.94,149.39,353.02,149.96,148.61,470.13,416.96,427.81,150.84,148.91,360.72,352.86,418.04,372.61,147.51,416.49,116.65,343.34,333.66,409.45,148.74,416.92,414.34,417.42,415.98,323.77,451.11,113.71,125.77
Max Drawdown ($) (OOS aggregate),,,,statistic,Max Drawdown ($) (OOS aggregate) for each solution,"$8,534.00","$9,584.50","$10,004.00","$12,344.50","$11,069.50","$7,544.00","$9,528.00","$14,046.00","$9,568.50","$13,966.00","$20,863.50","$15,878.50","$13,966.00","$11,769.00","$10,218.50","$15,717.00","$21,079.50","$31,151.00","$16,837.00","$16,837.00","$21,035.50","$20,599.00","$28,074.50","$26,281.50","$18,953.00","$25,799.00","$20,954.50","$24,590.50","$26,744.50","$29,541.00","$28,267.00","$27,920.00","$26,558.00","$28,470.00","$25,300.00","$8,689.50","$22,400.50","$22,651.50","$34,047.50","$33,680.50","$36,391.00","$30,379.50","$35,301.00","$36,123.00","$36,528.50","$35,583.00","$23,536.00","$59,140.50","$18,937.50","$23,544.50","$41,476.00","$18,854.50","$25,361.00","$22,918.50","$21,495.50","$25,363.00","$30,427.50","$25,212.50","$26,186.50","$25,330.50","$25,551.50","$18,202.00","$27,997.00","$25,577.00","$24,259.50","$15,458.00","$46,861.50","$24,675.50","$26,379.50","$28,301.50","$38,333.00","$49,728.00","$24,206.00","$25,544.00","$34,472.00","$45,219.00","$51,583.00","$34,719.50","$22,259.50","$49,271.00","$29,422.50","$51,382.00","$28,698.50","$55,740.00","$25,730.50","$46,613.50","$48,419.50","$47,933.50","$47,203.00","$30,765.00","$32,449.50","$21,534.50","$39,146.50"
Profit Factor (OOS aggregate),,,,statistic,Profit Factor (OOS aggregate) for each solution,1.0688,1.1352,1.1815,0.9989,1.0952,1.1364,1.1139,1.0035,1.1436,1.0672,0.9091,1.0486,1.0650,1.1079,1.0327,0.9400,1.0811,0.8856,0.9270,0.9270,1.0844,1.0891,1.0470,1.0619,0.9945,1.0437,0.9899,1.0784,1.0434,0.9907,1.0328,1.0349,1.0572,1.0464,1.0448,1.0814,0.9805,0.9918,0.8966,0.8984,0.8914,0.9139,0.9136,0.9057,0.9052,0.9029,1.0744,0.8742,1.0749,1.0494,0.8888,1.0842,1.0625,1.0636,1.0646,1.0443,1.0479,1.0401,1.0090,0.9984,1.0270,1.0675,1.0084,1.0394,1.0283,1.0895,0.8721,1.0206,1.0268,0.9899,0.9735,0.9258,1.0946,1.0403,0.9239,0.9089,0.8839,0.9290,1.0398,0.9095,0.9747,0.8565,0.9863,0.8947,1.0780,0.9096,0.9047,0.9107,0.9075,0.9701,0.9281,0.9603,0.9364
Avg Trades/Day (OOS aggregate),,,,statistic,Avg Trades/Day (OOS aggregate) for each solution,0.292,0.363,0.311,0.254,0.325,0.291,0.291,0.365,0.324,0.358,0.350,0.325,0.359,0.365,0.375,0.386,0.516,0.425,0.384,0.384,0.467,0.511,0.571,0.538,0.698,0.546,0.664,0.496,0.588,0.807,0.595,0.595,0.567,0.611,0.613,0.304,0.800,0.749,0.887,0.897,0.872,0.921,0.974,0.981,0.981,0.987,0.543,0.884,0.527,0.552,1.072,0.517,0.573,0.558,0.560,0.564,0.686,0.569,0.841,0.987,0.573,0.534,0.845,0.596,0.588,0.530,1.209,0.584,0.600,0.849,0.999,0.942,0.619,0.616,1.176,1.243,1.010,1.139,0.619,0.967,0.832,1.229,1.260,0.979,0.648,0.982,0.982,0.983,0.985,1.297,0.865,0.894,0.878
Total Profit ($) (OOS aggregate),,,,statistic,Total Profit ($) (OOS aggregate) for each solution,"$6,087.50","$15,752.00","$17,319.50",$-105.00,"$10,076.00","$12,341.50","$10,496.50",$403.50,"$13,899.00","$7,637.50","$-10,860.00","$5,268.00","$7,418.50","$11,638.50","$3,692.00","$-7,734.00","$14,930.00","$-16,892.50","$-9,549.50","$-9,549.50","$14,013.50","$16,192.50","$9,852.50","$12,154.00","$-1,442.00","$8,708.00","$-2,667.50","$14,573.00","$8,987.00","$-2,378.00","$6,907.00","$7,351.00","$11,902.00","$10,109.00","$9,786.50","$7,650.00","$-5,744.00","$-2,313.00","$-29,672.00","$-29,305.00","$-32,282.00","$-25,343.50","$-26,612.50","$-29,289.50","$-29,464.50","$-30,400.00","$14,283.50","$-41,526.00","$14,096.00","$9,700.50","$-37,932.00","$15,511.00","$12,736.00","$12,600.00","$12,827.50","$8,971.00","$11,582.00","$8,174.50","$2,637.00",$-508.00,"$5,568.00","$12,853.00","$2,517.00","$8,316.00","$5,964.00","$16,892.00","$-47,642.00","$4,340.00","$5,720.00","$-3,001.00","$-8,760.00","$-23,834.00","$20,731.00","$8,753.00","$-27,050.50","$-35,448.50","$-43,356.50","$-24,485.00","$8,682.50","$-29,269.00","$-6,968.00","$-52,162.50","$-5,145.00","$-34,250.50","$17,654.50","$-30,367.50","$-32,097.50","$-30,105.00","$-31,209.50","$-11,684.00","$-22,182.00","$-10,816.50","$-19,530.00"
Avg Profit/Trade ($) (OOS aggregate),,,,statistic,Avg Profit/Trade ($) (OOS aggregate) for each solution,$25.36,$52.86,$67.65,$-0.50,$37.74,$51.64,$43.92,$1.34,$52.25,$25.98,$-37.71,$19.73,$25.15,$38.79,$11.99,$-24.40,$35.21,$-48.40,$-30.22,$-30.22,$36.49,$38.55,$21.01,$27.50,$-2.51,$19.39,$-4.89,$35.72,$18.61,$-3.59,$14.12,$15.03,$25.54,$20.14,$19.42,$30.60,$-8.73,$-3.75,$-40.70,$-39.76,$-45.02,$-33.48,$-33.22,$-36.34,$-36.56,$-37.48,$32.03,$-57.12,$32.55,$21.37,$-43.06,$36.50,$27.04,$27.45,$27.89,$19.33,$20.54,$17.47,$3.82,$-0.63,$11.82,$29.28,$3.62,$16.97,$12.35,$38.74,$-47.93,$9.04,$11.60,$-4.30,$-10.67,$-30.79,$40.73,$17.30,$-27.97,$-34.69,$-52.24,$-26.16,$17.06,$-36.82,$-10.19,$-51.65,$-4.97,$-42.55,$33.12,$-37.63,$-39.77,$-37.26,$-38.53,$-10.96,$-31.20,$-14.72,$-27.05
"Avg Trade Span (min, bar grid) (OOS aggregate)",,,,statistic,"Avg Trade Span (min, bar grid) (OOS aggregate) for each solution",179.43,202.34,216.62,221.86,178.37,218.90,210.41,191.19,208.26,189.80,188.00,209.95,189.00,193.76,178.82,178.60,182.33,180.79,180.72,180.72,183.97,180.40,181.52,182.86,159.71,182.03,174.03,198.47,179.13,132.51,178.19,178.71,192.73,184.31,178.17,203.28,159.17,163.98,128.44,128.41,138.18,127.98,127.49,127.27,126.66,125.93,178.89,157.83,176.73,177.71,127.46,178.05,176.92,176.66,176.13,176.48,169.22,176.26,170.26,151.64,174.81,176.26,165.86,175.46,172.84,176.41,114.65,174.15,174.70,169.19,139.01,139.60,173.31,173.48,124.57,127.90,151.40,125.61,173.47,131.32,127.91,107.73,124.30,128.85,172.20,136.07,135.03,136.86,135.54,118.42,139.92,130.65,125.37
Derived Trailing Delay (bars from minutes/timeframe),,,,statistic,"Effective trailing delay in bars using the active GA gene (minutes when optimizable, else bars).",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Derived RSI filter (effective entry gates),,,,statistic,"Trend: long if RSI < Max Buy, short if RSI > Min Sell. Bollinger: mean-reversion long if RSI < Oversold, short if RSI > Overbought.",filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries),filter off (RSI not applied to entries)
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92
"--- GA FITNESS VECTOR (normalized, per DEAP) ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness[0] norm Sortino obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.273449,0.260444,0.259686,0.258583,0.256444,0.252096,0.226869,0.225822,0.218208,0.214742,0.213241,0.210915,0.208981,0.206658,0.184907,0.144910,0.142243,0.135993,0.134784,0.134784,0.134533,0.132143,0.131629,0.127580,0.123949,0.123913,0.122280,0.121356,0.120353,0.115455,0.114706,0.114706,0.114119,0.112584,0.106817,0.104452,0.099254,0.096178,0.091579,0.087192,0.085471,0.082960,0.079192,0.079144,0.077933,0.071043,0.066198,0.065129,0.063311,0.062702,0.061577,0.061527,0.061149,0.060991,0.060970,0.058971,0.058861,0.057783,0.055573,0.054866,0.054051,0.053155,0.051735,0.051131,0.050801,0.048758,0.048509,0.048162,0.046169,0.045768,0.045131,0.044621,0.043793,0.041035,0.040893,0.037203,0.036868,0.035867,0.035633,0.033534,0.032460,0.032184,0.028977,0.028924,0.028918,0.028230,0.027609,0.026492,0.026322,0.024783,0.020786,0.020113,0.006332
Fitness[1] norm DD obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.120788,0.107681,0.128013,0.135275,0.201031,0.097662,0.086937,0.151494,0.085419,0.139813,0.091037,0.145463,0.137994,0.154100,0.109062,0.141356,0.121825,0.229981,0.140175,0.140175,0.121700,0.112981,0.169619,0.150519,0.193963,0.141381,0.237238,0.120525,0.154700,0.230663,0.165794,0.165794,0.193331,0.180900,0.167069,0.067219,0.261431,0.270156,0.386200,0.359269,0.324131,0.340313,0.384719,0.369700,0.384106,0.384106,0.136987,0.371731,0.116587,0.136987,0.401806,0.109188,0.147825,0.136987,0.136987,0.136987,0.184231,0.147825,0.307169,0.475100,0.136987,0.116587,0.328825,0.153731,0.147844,0.131044,0.565862,0.147825,0.153731,0.338063,0.636863,0.342306,0.162781,0.153750,0.517012,0.598975,0.546794,0.492669,0.161244,0.440900,0.293869,0.583831,0.382731,0.490113,0.167069,0.476000,0.480738,0.473831,0.470431,0.505219,0.308750,0.281156,0.300500
Fitness[2] norm PF obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.194327,0.202924,0.207125,0.208492,0.207109,0.204310,0.194358,0.197757,0.189918,0.191236,0.192845,0.185361,0.188852,0.190555,0.179931,0.168706,0.164812,0.168871,0.165507,0.165507,0.162326,0.160736,0.160630,0.159526,0.157254,0.157922,0.159971,0.160806,0.156232,0.153244,0.154496,0.154496,0.157199,0.154104,0.151750,0.153647,0.153045,0.153111,0.142049,0.141338,0.140586,0.140196,0.139417,0.139507,0.139126,0.137424,0.140317,0.140076,0.139621,0.139186,0.134885,0.138978,0.138569,0.138568,0.138594,0.137915,0.137955,0.137507,0.137946,0.137030,0.136435,0.136526,0.137793,0.135261,0.135608,0.135057,0.132052,0.134678,0.133748,0.134618,0.132142,0.132672,0.133104,0.132265,0.130597,0.129240,0.130468,0.129179,0.130748,0.129137,0.129858,0.128153,0.127693,0.127686,0.128619,0.127760,0.127555,0.127274,0.127218,0.126183,0.126348,0.125254,0.121976
Fitness[3] norm Trades obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.106599,0.118782,0.107953,0.100846,0.109306,0.103892,0.107276,0.136379,0.117428,0.126904,0.126904,0.128934,0.128596,0.138748,0.128934,0.129949,0.182403,0.151269,0.129949,0.129949,0.170897,0.183418,0.195262,0.190186,0.239594,0.190863,0.230457,0.176988,0.204399,0.262606,0.207783,0.207783,0.199323,0.217259,0.218274,0.111675,0.275465,0.255499,0.286294,0.289679,0.282572,0.297124,0.313367,0.314721,0.316413,0.317090,0.190863,0.291371,0.185787,0.192893,0.330964,0.184095,0.196616,0.194247,0.194585,0.195601,0.237563,0.196277,0.287310,0.327242,0.196616,0.186464,0.288663,0.208122,0.203046,0.187140,0.388494,0.198308,0.208460,0.292724,0.332995,0.324535,0.214213,0.213198,0.382741,0.393909,0.348900,0.364805,0.213875,0.331303,0.287648,0.392893,0.418613,0.335025,0.223350,0.337394,0.338409,0.337056,0.338071,0.435195,0.293739,0.284602,0.306937
Fitness[4] norm PnL obj,,,,statistic,Normalized objective after penalties; see Sortino row for raw IS aggregate,0.454617,0.549977,0.590657,0.531560,0.536890,0.503350,0.464373,0.587163,0.470980,0.510113,0.535393,0.505133,0.500917,0.560000,0.444350,0.378710,0.545317,0.443623,0.361330,0.361330,0.488200,0.502670,0.545673,0.519603,0.592253,0.498990,0.629773,0.513783,0.504600,0.551777,0.491350,0.491350,0.524507,0.520293,0.478427,0.207877,0.616290,0.583727,0.384477,0.378353,0.374530,0.367863,0.368883,0.371820,0.366847,0.335230,0.260803,0.412233,0.242700,0.248600,0.305680,0.233993,0.245800,0.242510,0.242847,0.235600,0.283493,0.231517,0.381997,0.388010,0.216723,0.206653,0.372673,0.216073,0.213120,0.190990,0.281647,0.196617,0.195137,0.320197,0.269850,0.272917,0.190693,0.179527,0.252767,0.227197,0.259900,0.210957,0.157507,0.196803,0.180413,0.186823,0.202240,0.166777,0.132693,0.176057,0.171800,0.165160,0.163630,0.163203,0.132567,0.092980,0.040913
